"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"27","0.013248630375117063","0.013248630375117063","0.013248630375117063","0.0006417096196860076","0.0006417096196860076","0.0006417096196860076","0.12431121944427491","0.12431121944427491","0.12431121944427491","0.26596305383205415","0.26596305383205415","0.26596305383205415","0.0012988804228790105","0.0012988804228790105","0.0012988804228790105","0.11167191210746766","0.11167191210746766","0.11167191210746766"
"28","0.012473007955402135","0.012473007955402135","0.012473007955402135","0.0004736174222454429","0.0004736174222454429","0.0004736174222454429","0.10676927983283997","0.10676927983283997","0.10676927983283997","0.23785036134719847","0.23785036134719847","0.23785036134719847","0.0007653846368845552","0.0007653846368845552","0.0007653846368845552","0.09693973490238189","0.09693973490238189","0.09693973490238189"
"29","0.01144423712529242","0.01144423712529242","0.01144423712529242","0.00039416555808857083","0.00039416555808857083","0.00039416555808857083","0.09348956794500352","0.09348956794500352","0.09348956794500352","0.21697660636901855","0.21697660636901855","0.21697660636901855","0.00044346432471182196","0.00044346432471182196","0.00044346432471182196","0.08139651510715484","0.08139651510715484","0.08139651510715484"
"30","0.01000167061202228","0.01000167061202228","0.01000167061202228","0.00035871792157180605","0.00035871792157180605","0.00035871792157180605","0.08567251470088959","0.08567251470088959","0.08567251470088959","0.20269697484970092","0.20269697484970092","0.20269697484970092","0.0005845135296089574","0.0005845135296089574","0.0005845135296089574","0.0735106890130043","0.0735106890130043","0.0735106890130043"
"31","0.00774614555913955","0.00774614555913955","0.00774614555913955","0.00033551717290654777","0.00033551717290654777","0.00033551717290654777","0.07469386777877808","0.07469386777877808","0.07469386777877808","0.18886697315216064","0.18886697315216064","0.18886697315216064","0.00037177610916784033","0.00037177610916784033","0.00037177610916784033","0.0641457899427414","0.0641457899427414","0.0641457899427414"
"32","0.0077154024665802715","0.0077154024665802715","0.0077154024665802715","0.00028578010004013776","0.00028578010004013776","0.00028578010004013776","0.06635387608289718","0.06635387608289718","0.06635387608289718","0.1779400078678131","0.1779400078678131","0.1779400078678131","0.0003353394415788353","0.0003353394415788353","0.0003353394415788353","0.06104043918073177","0.06104043918073177","0.06104043918073177"
"33","0.005191241868268698","0.005191241868268698","0.005191241868268698","0.00027542085758410395","0.00027542085758410395","0.00027542085758410395","0.06107464152336121","0.06107464152336121","0.06107464152336121","0.1666265778207779","0.1666265778207779","0.1666265778207779","0.00018850815423764289","0.00018850815423764289","0.00018850815423764289","0.05288506209015846","0.05288506209015846","0.05288506209015846"
"34","0.0071031332099623975","0.0071031332099623975","0.0071031332099623975","0.00026240747696720064","0.00026240747696720064","0.00026240747696720064","0.05576560168862343","0.05576560168862343","0.05576560168862343","0.1510547378873825","0.1510547378873825","0.1510547378873825","0.0001568229598342441","0.0001568229598342441","0.0001568229598342441","0.04541490841984749","0.04541490841984749","0.04541490841984749"
"35","0.005569043083842843","0.005569043083842843","0.005569043083842843","0.0002401917348522693","0.0002401917348522693","0.0002401917348522693","0.05113929674386978","0.05113929674386978","0.05113929674386978","0.1456894816827774","0.1456894816827774","0.1456894816827774","0.00012973215516656636","0.00012973215516656636","0.00012973215516656636","0.04159296907901764","0.04159296907901764","0.04159296907901764"
"36","0.004625538039160893","0.004625538039160893","0.004625538039160893","0.00023603260092437266","0.00023603260092437266","0.00023603260092437266","0.04631863069534302","0.04631863069534302","0.04631863069534302","0.13597292610168457","0.13597292610168457","0.13597292610168457","0.00012513916316907853","0.00012513916316907853","0.00012513916316907853","0.04155320474982262","0.04155320474982262","0.04155320474982262"
