"Step","resnet50_224_aug - acc","resnet50_224_aug - acc__MIN","resnet50_224_aug - acc__MAX","resnet18_224 - acc","resnet18_224 - acc__MIN","resnet18_224 - acc__MAX","resnet50_32_aug_3x3_relu - acc","resnet50_32_aug_3x3_relu - acc__MIN","resnet50_32_aug_3x3_relu - acc__MAX","resnet18_32_aug_3x3 - acc","resnet18_32_aug_3x3 - acc__MIN","resnet18_32_aug_3x3 - acc__MAX","resnet50_224 - acc","resnet50_224 - acc__MIN","resnet50_224 - acc__MAX","resnet50_32_aug_3x3 - acc","resnet50_32_aug_3x3 - acc__MIN","resnet50_32_aug_3x3 - acc__MAX"
"62","0.9708","0.9708","0.9708","0.9558","0.9558","0.9558","0.9402","0.9402","0.9402","0.902","0.902","0.902","0.97","0.97","0.97","0.9383","0.9383","0.9383"
"63","0.9724","0.9724","0.9724","0.9558","0.9558","0.9558","0.9406","0.9406","0.9406","0.8972","0.8972","0.8972","0.9695","0.9695","0.9695","0.9418","0.9418","0.9418"
"64","0.9737","0.9737","0.9737","0.9554","0.9554","0.9554","0.9417","0.9417","0.9417","0.908","0.908","0.908","0.9684","0.9684","0.9684","0.9426","0.9426","0.9426"
"65","0.9735","0.9735","0.9735","0.9558","0.9558","0.9558","0.9365","0.9365","0.9365","0.9074","0.9074","0.9074","0.969","0.969","0.969","0.9444","0.9444","0.9444"
"66","0.9731","0.9731","0.9731","0.9554","0.9554","0.9554","0.9406","0.9406","0.9406","0.903","0.903","0.903","0.97","0.97","0.97","0.9402","0.9402","0.9402"
"67","0.9756","0.9756","0.9756","0.956","0.956","0.956","0.9384","0.9384","0.9384","0.9024","0.9024","0.9024","0.9687","0.9687","0.9687","0.9396","0.9396","0.9396"
"68","0.9722","0.9722","0.9722","0.9558","0.9558","0.9558","0.9403","0.9403","0.9403","0.9087","0.9087","0.9087","0.969","0.969","0.969","0.9413","0.9413","0.9413"
"69","0.9727","0.9727","0.9727","0.9555","0.9555","0.9555","0.9421","0.9421","0.9421","0.9013","0.9013","0.9013","0.97","0.97","0.97","0.9439","0.9439","0.9439"
"70","0.9736","0.9736","0.9736","0.9562","0.9562","0.9562","0.9427","0.9427","0.9427","0.903","0.903","0.903","0.9689","0.9689","0.9689","0.9447","0.9447","0.9447"
"71","0.974","0.974","0.974","0.9563","0.9563","0.9563","0.94","0.94","0.94","0.9036","0.9036","0.9036","0.9693","0.9693","0.9693","0.945","0.945","0.945"
"72","0.974","0.974","0.974","0.9564","0.9564","0.9564","0.9389","0.9389","0.9389","0.907","0.907","0.907","0.9697","0.9697","0.9697","0.9412","0.9412","0.9412"
"73","0.9749","0.9749","0.9749","0.955","0.955","0.955","0.9381","0.9381","0.9381","0.905","0.905","0.905","0.9698","0.9698","0.9698","0.9416","0.9416","0.9416"
"74","0.9737","0.9737","0.9737","0.9564","0.9564","0.9564","0.9383","0.9383","0.9383","0.9039","0.9039","0.9039","0.9682","0.9682","0.9682","0.9399","0.9399","0.9399"
"75","0.9718","0.9718","0.9718","0.9558","0.9558","0.9558","0.9418","0.9418","0.9418","0.9072","0.9072","0.9072","0.9692","0.9692","0.9692","0.9424","0.9424","0.9424"
"76","0.9732","0.9732","0.9732","0.9555","0.9555","0.9555","0.942","0.942","0.942","0.9028","0.9028","0.9028","0.9691","0.9691","0.9691","0.9451","0.9451","0.9451"
"77","0.9735","0.9735","0.9735","0.9554","0.9554","0.9554","0.9384","0.9384","0.9384","0.8983","0.8983","0.8983","0.9685","0.9685","0.9685","0.9426","0.9426","0.9426"
"78","0.9722","0.9722","0.9722","0.9562","0.9562","0.9562","0.9404","0.9404","0.9404","0.9096","0.9096","0.9096","0.9693","0.9693","0.9693","0.9412","0.9412","0.9412"
"79","0.9739","0.9739","0.9739","0.9555","0.9555","0.9555","0.9401","0.9401","0.9401","0.9098","0.9098","0.9098","0.969","0.969","0.969","0.9433","0.9433","0.9433"
"80","0.9716","0.9716","0.9716","0.9557","0.9557","0.9557","0.9414","0.9414","0.9414","0.9107","0.9107","0.9107","0.969","0.969","0.969","0.9442","0.9442","0.9442"
"81","0.9715","0.9715","0.9715","0.9567","0.9567","0.9567","0.9415","0.9415","0.9415","0.9126","0.9126","0.9126","0.9694","0.9694","0.9694","0.9427","0.9427","0.9427"
"82","0.9708","0.9708","0.9708","0.9558","0.9558","0.9558","0.937","0.937","0.937","0.9077","0.9077","0.9077","0.9691","0.9691","0.9691","0.9442","0.9442","0.9442"
"83","0.9708","0.9708","0.9708","0.9559","0.9559","0.9559","0.9391","0.9391","0.9391","0.9078","0.9078","0.9078","0.9688","0.9688","0.9688","0.9434","0.9434","0.9434"
"84","0.9708","0.9708","0.9708","0.9569","0.9569","0.9569","0.9415","0.9415","0.9415","0.9065","0.9065","0.9065","0.9681","0.9681","0.9681","0.9385","0.9385","0.9385"
"85","0.9714","0.9714","0.9714","0.9559","0.9559","0.9559","0.9395","0.9395","0.9395","0.9098","0.9098","0.9098","0.9678","0.9678","0.9678","0.9443","0.9443","0.9443"
"86","0.9719","0.9719","0.9719","0.9555","0.9555","0.9555","0.9389","0.9389","0.9389","0.9005","0.9005","0.9005","0.9638","0.9638","0.9638","0.9439","0.9439","0.9439"
"87","0.9708","0.9708","0.9708","0.9562","0.9562","0.9562","0.9392","0.9392","0.9392","0.9104","0.9104","0.9104","0.9533","0.9533","0.9533","0.9396","0.9396","0.9396"
